BUY,,,,,,,,,
Year,Month,Buy,,,,,,,
2015,may,1,total=4,,,,,,
,october,1,,,,,,,
,december,2,,,,,,,
2016,April,1,total=1,,,,,,
2017,january,1,total=3,,,,,,
,may,1,,,,,,,
,august,1,,,,,,,
2018,january,1,total=4,,,,,,
,february,1,,,,,,,
,may,1,,,,,,,
,june,1,,,,,,,
Sell,,,,,,,,,
Year,Month,Sell,,,,,,,
2015,august,1,total=3,,,,,,
,december,2,,,,,,,
2016,january,1,total=2,,,,,,
,october,1,,,,,,,
2017,april,1,total=3,,,,,,
,june,1,,,,,,,
,december,1,,,,,,,
2018,january,1,total=3,,,,,,
,february,1,,,,,,,
,may,1,,,,,,,
Hold,,,,,,,,,
Year,Month,Hold,,,,,,,
2015,March,13,total=192,,,,,,total=244
,april,19,,,,,,,
,May,19,,,,,,,
,June,22,,,,,,,
,July,23,,,,,,,
,August,20,,,,,,,
,September,20,,,,,,,
,october,19,,,,,,,
,november,19,,,,,,,
,december,18,,,,,,,
2016,january,19,total=244,,,,,,
,february,21,,,,,,,
,March,20,,,,,,,
,april,17,,,,,,,
,may,22,,,,,,,
,june,22,,,,,,,
,july,20,,,,,,,
,august,22,,,,,,,
,september,20,,,,,,,
,october,18,,,,,,,
,november,21,,,,,,,
,december,22,,,,,,,
2017,january,20,total=241,,,,,,
,february,19,,,,,,,
,march,22,,,,,,,
,april,17,,,,,,,
,may,21,,,,,,,
,june,20,,,,,,,
,july,21,,,,,,,
,august,19,,,,,,,
,september,21,,,,,,,
,october,20,,,,,,,
,november,22,,,,,,,
,december,19,,,,,,,
2018,january,20,total=139,,,,,,
,february,17,,,,,,,
,march,19,,,,,,,
,april,21,,,,,,,
,may,20,,,,,,,
,june,20,,,,,,,
,july,22,,,,,,,
