"Date";"close_price";"Signal"
"2015-03-13";277.65;"HOLD"
"2015-03-16";274.15;"HOLD"
"2015-03-17";283.25;"HOLD"
"2015-03-18";278.75;"HOLD"
"2015-03-19";273.0;"HOLD"
"2015-03-20";268.4;"HOLD"
"2015-03-23";266.2;"HOLD"
"2015-03-24";259.7;"HOLD"
"2015-03-25";259.1;"HOLD"
"2015-03-26";266.05;"HOLD"
"2015-03-27";271.55;"HOLD"
"2015-03-30";266.25;"HOLD"
"2015-03-31";263.75;"HOLD"
"2015-04-01";255.15;"HOLD"
"2015-04-06";252.2;"HOLD"
"2015-04-07";255.4;"HOLD"
"2015-04-08";251.15;"HOLD"
"2015-04-09";250.7;"HOLD"
"2015-04-10";256.75;"HOLD"
"2015-04-13";255.15;"HOLD"
"2015-04-15";251.4;"HOLD"
"2015-04-16";244.65;"HOLD"
"2015-04-17";244.6;"HOLD"
"2015-04-20";233.75;"HOLD"
"2015-04-21";237.6;"HOLD"
"2015-04-22";237.95;"HOLD"
"2015-04-23";232.9;"HOLD"
"2015-04-24";232.1;"HOLD"
"2015-04-27";228.25;"HOLD"
"2015-04-28";227.55;"HOLD"
"2015-04-29";237.35;"HOLD"
"2015-04-30";235.6;"HOLD"
"2015-05-04";249.35;"HOLD"
"2015-05-05";240.4;"HOLD"
"2015-05-06";226.0;"HOLD"
"2015-05-07";216.15;"HOLD"
"2015-05-08";220.85;"HOLD"
"2015-05-11";227.2;"HOLD"
"2015-05-12";222.45;"HOLD"
"2015-05-13";219.8;"HOLD"
"2015-05-14";224.15;"HOLD"
"2015-05-15";221.4;"HOLD"
"2015-05-18";224.15;"HOLD"
"2015-05-19";222.0;"HOLD"
"2015-05-20";220.2;"HOLD"
"2015-05-21";229.95;"HOLD"
"2015-05-22";227.35;"HOLD"
"2015-05-25";230.15;"HOLD"
"2015-05-26";234.8;"HOLD"
"2015-05-27";235.95;"HOLD"
"2015-05-28";236.1;"HOLD"
"2015-05-29";237.95;"HOLD"
"2015-06-01";236.0;"HOLD"
"2015-06-02";225.9;"HOLD"
"2015-06-03";221.4;"HOLD"
"2015-06-04";226.55;"HOLD"
"2015-06-05";223.5;"HOLD"
"2015-06-08";219.1;"HOLD"
"2015-06-09";218.8;"HOLD"
"2015-06-10";224.0;"HOLD"
"2015-06-11";226.5;"HOLD"
"2015-06-12";225.1;"HOLD"
"2015-06-15";228.15;"HOLD"
"2015-06-16";228.45;"HOLD"
"2015-06-17";231.8;"HOLD"
"2015-06-18";231.9;"HOLD"
"2015-06-19";239.85;"HOLD"
"2015-06-22";244.9;"HOLD"
"2015-06-23";242.85;"HOLD"
"2015-06-24";240.35;"HOLD"
"2015-06-25";238.9;"HOLD"
"2015-06-26";245.1;"BUY"
"2015-06-29";241.6;"HOLD"
"2015-06-30";243.75;"HOLD"
"2015-07-01";245.55;"HOLD"
"2015-07-02";257.25;"HOLD"
"2015-07-03";257.5;"HOLD"
"2015-07-06";264.4;"HOLD"
"2015-07-07";270.15;"HOLD"
"2015-07-08";265.0;"HOLD"
"2015-07-09";259.25;"HOLD"
"2015-07-10";256.95;"HOLD"
"2015-07-13";270.65;"HOLD"
"2015-07-14";266.3;"HOLD"
"2015-07-15";268.25;"HOLD"
"2015-07-16";266.55;"HOLD"
"2015-07-17";263.35;"HOLD"
"2015-07-20";263.8;"HOLD"
"2015-07-21";257.95;"HOLD"
"2015-07-22";264.0;"HOLD"
"2015-07-23";263.35;"HOLD"
"2015-07-24";251.45;"HOLD"
"2015-07-27";241.55;"HOLD"
"2015-07-28";232.55;"HOLD"
"2015-07-29";235.0;"HOLD"
"2015-07-30";235.95;"HOLD"
"2015-07-31";237.95;"HOLD"
"2015-08-03";230.1;"HOLD"
"2015-08-04";233.35;"HOLD"
"2015-08-05";234.65;"HOLD"
"2015-08-06";236.85;"HOLD"
"2015-08-07";239.15;"HOLD"
"2015-08-10";234.15;"HOLD"
"2015-08-11";223.55;"HOLD"
"2015-08-12";223.45;"HOLD"
"2015-08-13";225.55;"SELL"
"2015-08-14";230.0;"HOLD"
"2015-08-17";229.8;"HOLD"
"2015-08-18";230.25;"HOLD"
"2015-08-19";229.0;"HOLD"
"2015-08-20";231.8;"HOLD"
"2015-08-21";228.75;"HOLD"
"2015-08-24";213.55;"HOLD"
"2015-08-25";223.8;"HOLD"
"2015-08-26";227.45;"HOLD"
"2015-08-27";226.7;"HOLD"
"2015-08-28";220.4;"HOLD"
"2015-08-31";223.45;"HOLD"
"2015-09-01";216.75;"HOLD"
"2015-09-02";220.25;"HOLD"
"2015-09-03";221.05;"HOLD"
"2015-09-04";223.0;"HOLD"
"2015-09-07";218.05;"HOLD"
"2015-09-08";220.45;"HOLD"
"2015-09-09";225.9;"HOLD"
"2015-09-10";228.2;"HOLD"
"2015-09-11";232.6;"HOLD"
"2015-09-14";231.95;"HOLD"
"2015-09-15";231.0;"HOLD"
"2015-09-16";232.55;"HOLD"
"2015-09-18";235.65;"HOLD"
"2015-09-21";233.6;"HOLD"
"2015-09-22";229.85;"HOLD"
"2015-09-23";230.05;"HOLD"
"2015-09-24";235.8;"HOLD"
"2015-09-28";231.65;"HOLD"
"2015-09-29";230.3;"HOLD"
"2015-09-30";230.2;"HOLD"
"2015-10-01";229.6;"HOLD"
"2015-10-05";229.0;"HOLD"
"2015-10-06";230.2;"HOLD"
"2015-10-07";241.3;"BUY"
"2015-10-08";240.6;"HOLD"
"2015-10-09";238.6;"HOLD"
"2015-10-12";238.65;"HOLD"
"2015-10-13";242.15;"HOLD"
"2015-10-14";242.05;"HOLD"
"2015-10-15";242.6;"HOLD"
"2015-10-16";247.55;"HOLD"
"2015-10-19";246.95;"HOLD"
"2015-10-20";245.85;"HOLD"
"2015-10-21";252.15;"HOLD"
"2015-10-23";251.5;"HOLD"
"2015-10-26";244.05;"HOLD"
"2015-10-27";276.15;"HOLD"
"2015-10-28";271.8;"HOLD"
"2015-10-29";263.95;"HOLD"
"2015-10-30";265.4;"HOLD"
"2015-11-02";274.15;"HOLD"
"2015-11-03";287.5;"HOLD"
"2015-11-04";285.6;"HOLD"
"2015-11-05";281.2;"HOLD"
"2015-11-06";282.85;"HOLD"
"2015-11-09";290.65;"HOLD"
"2015-11-10";296.25;"HOLD"
"2015-11-11";297.0;"HOLD"
"2015-11-13";296.3;"HOLD"
"2015-11-16";296.25;"HOLD"
"2015-11-17";294.15;"HOLD"
"2015-11-18";286.3;"HOLD"
"2015-11-19";294.4;"HOLD"
"2015-11-20";293.45;"HOLD"
"2015-11-23";294.25;"HOLD"
"2015-11-24";290.45;"HOLD"
"2015-11-26";298.2;"HOLD"
"2015-11-27";305.45;"HOLD"
"2015-11-30";306.9;"HOLD"
"2015-12-01";304.0;"HOLD"
"2015-12-02";289.2;"HOLD"
"2015-12-03";283.3;"HOLD"
"2015-12-04";283.75;"HOLD"
"2015-12-07";281.8;"HOLD"
"2015-12-08";275.15;"HOLD"
"2015-12-10";278.55;"HOLD"
"2015-12-11";274.05;"HOLD"
"2015-12-14";275.05;"HOLD"
"2015-12-15";285.05;"HOLD"
"2015-12-16";281.75;"HOLD"
"2015-12-17";287.3;"HOLD"
"2015-12-18";286.1;"HOLD"
"2015-12-21";289.05;"HOLD"
"2015-12-22";288.05;"HOLD"
"2015-12-23";290.1;"HOLD"
"2015-12-24";285.0;"HOLD"
"2015-12-28";285.5;"HOLD"
"2015-12-29";293.3;"HOLD"
"2015-12-30";290.2;"HOLD"
"2015-12-31";289.65;"HOLD"
"2016-01-01";287.1;"HOLD"
"2016-01-04";286.45;"HOLD"
"2016-01-05";286.95;"HOLD"
"2016-01-06";286.55;"SELL"
"2016-01-07";277.6;"HOLD"
"2016-01-08";284.6;"HOLD"
"2016-01-11";285.85;"HOLD"
"2016-01-12";289.7;"HOLD"
"2016-01-13";288.1;"HOLD"
"2016-01-14";281.4;"HOLD"
"2016-01-15";277.65;"HOLD"
"2016-01-18";274.0;"HOLD"
"2016-01-19";282.55;"HOLD"
"2016-01-20";274.1;"HOLD"
"2016-01-21";274.2;"HOLD"
"2016-01-22";285.05;"HOLD"
"2016-01-25";288.0;"HOLD"
"2016-01-27";289.85;"HOLD"
"2016-01-28";291.65;"HOLD"
"2016-01-29";291.5;"HOLD"
"2016-02-01";295.35;"HOLD"
"2016-02-02";293.1;"HOLD"
"2016-02-03";287.45;"HOLD"
"2016-02-04";281.35;"HOLD"
"2016-02-05";288.4;"HOLD"
"2016-02-08";287.05;"HOLD"
"2016-02-09";285.75;"HOLD"
"2016-02-10";286.4;"HOLD"
"2016-02-11";277.95;"HOLD"
"2016-02-12";276.15;"HOLD"
"2016-02-15";285.05;"BUY"
"2016-02-16";276.7;"HOLD"
"2016-02-17";281.9;"HOLD"
"2016-02-18";284.9;"HOLD"
"2016-02-19";287.45;"HOLD"
"2016-02-22";286.7;"HOLD"
"2016-02-23";280.3;"HOLD"
"2016-02-24";270.35;"SELL"
"2016-02-25";267.6;"HOLD"
"2016-02-26";264.55;"HOLD"
"2016-02-29";267.7;"HOLD"
"2016-03-01";283.7;"HOLD"
"2016-03-02";287.6;"HOLD"
"2016-03-03";286.95;"HOLD"
"2016-03-04";288.2;"HOLD"
"2016-03-08";282.85;"HOLD"
"2016-03-09";284.6;"HOLD"
"2016-03-10";283.5;"HOLD"
"2016-03-11";288.0;"HOLD"
"2016-03-14";288.65;"HOLD"
"2016-03-15";285.95;"HOLD"
"2016-03-16";283.9;"HOLD"
"2016-03-17";283.0;"HOLD"
"2016-03-18";286.8;"HOLD"
"2016-03-21";305.1;"HOLD"
"2016-03-22";317.15;"HOLD"
"2016-03-23";309.3;"BUY"
"2016-03-28";314.3;"HOLD"
"2016-03-29";315.25;"HOLD"
"2016-03-30";321.5;"HOLD"
"2016-03-31";322.65;"HOLD"
"2016-04-01";324.85;"HOLD"
"2016-04-04";324.3;"HOLD"
"2016-04-05";314.55;"HOLD"
"2016-04-06";316.6;"HOLD"
"2016-04-07";314.4;"HOLD"
"2016-04-08";313.15;"HOLD"
"2016-04-11";315.25;"HOLD"
"2016-04-12";318.65;"HOLD"
"2016-04-13";326.8;"HOLD"
"2016-04-18";333.6;"HOLD"
"2016-04-20";335.9;"HOLD"
"2016-04-21";324.6;"HOLD"
"2016-04-22";331.5;"HOLD"
"2016-04-25";323.1;"HOLD"
"2016-04-26";329.75;"HOLD"
"2016-04-27";327.95;"HOLD"
"2016-04-28";318.7;"HOLD"
"2016-04-29";320.0;"HOLD"
"2016-05-02";318.7;"HOLD"
"2016-05-03";287.9;"HOLD"
"2016-05-04";289.85;"HOLD"
"2016-05-05";295.25;"HOLD"
"2016-05-06";300.0;"HOLD"
"2016-05-09";301.0;"HOLD"
"2016-05-10";298.2;"HOLD"
"2016-05-11";297.35;"HOLD"
"2016-05-12";295.75;"HOLD"
"2016-05-13";296.65;"HOLD"
"2016-05-16";295.85;"HOLD"
"2016-05-17";294.15;"HOLD"
"2016-05-18";296.6;"HOLD"
"2016-05-19";295.9;"SELL"
"2016-05-20";296.95;"HOLD"
"2016-05-23";295.15;"HOLD"
"2016-05-24";294.35;"HOLD"
"2016-05-25";296.05;"HOLD"
"2016-05-26";298.55;"HOLD"
"2016-05-27";291.95;"HOLD"
"2016-05-30";288.95;"HOLD"
"2016-05-31";285.75;"HOLD"
"2016-06-01";288.6;"HOLD"
"2016-06-02";296.6;"HOLD"
"2016-06-03";297.1;"HOLD"
"2016-06-06";295.45;"HOLD"
"2016-06-07";294.55;"HOLD"
"2016-06-08";290.05;"HOLD"
"2016-06-09";290.4;"HOLD"
"2016-06-10";287.0;"HOLD"
"2016-06-13";287.95;"HOLD"
"2016-06-14";290.75;"HOLD"
"2016-06-15";291.75;"HOLD"
"2016-06-16";291.5;"HOLD"
"2016-06-17";292.4;"HOLD"
"2016-06-20";292.9;"HOLD"
"2016-06-21";296.15;"HOLD"
"2016-06-22";294.9;"HOLD"
"2016-06-23";295.55;"HOLD"
"2016-06-24";297.2;"HOLD"
"2016-06-27";296.95;"HOLD"
"2016-06-28";297.1;"HOLD"
"2016-06-29";299.7;"HOLD"
"2016-06-30";309.7;"HOLD"
"2016-07-01";310.55;"HOLD"
"2016-07-04";312.9;"HOLD"
"2016-07-05";306.5;"HOLD"
"2016-07-07";299.8;"BUY"
"2016-07-08";297.5;"HOLD"
"2016-07-11";298.95;"HOLD"
"2016-07-12";304.7;"HOLD"
"2016-07-13";307.65;"HOLD"
"2016-07-14";304.4;"HOLD"
"2016-07-15";306.6;"HOLD"
"2016-07-18";302.85;"HOLD"
"2016-07-19";300.5;"HOLD"
"2016-07-20";302.9;"HOLD"
"2016-07-21";300.25;"HOLD"
"2016-07-22";301.5;"HOLD"
"2016-07-25";300.65;"HOLD"
"2016-07-26";291.4;"HOLD"
"2016-07-27";287.8;"HOLD"
"2016-07-28";290.2;"HOLD"
"2016-07-29";291.4;"HOLD"
"2016-08-01";295.05;"HOLD"
"2016-08-02";299.55;"HOLD"
"2016-08-03";297.45;"HOLD"
"2016-08-04";298.6;"HOLD"
"2016-08-05";303.05;"HOLD"
"2016-08-08";304.1;"HOLD"
"2016-08-09";298.9;"HOLD"
"2016-08-10";295.65;"HOLD"
"2016-08-11";296.75;"HOLD"
"2016-08-12";298.3;"SELL"
"2016-08-16";298.8;"HOLD"
"2016-08-17";313.1;"HOLD"
"2016-08-18";311.85;"BUY"
"2016-08-19";311.6;"HOLD"
"2016-08-22";306.3;"HOLD"
"2016-08-23";307.0;"HOLD"
"2016-08-24";306.65;"HOLD"
"2016-08-25";306.5;"HOLD"
"2016-08-26";303.15;"HOLD"
"2016-08-29";311.7;"HOLD"
"2016-08-30";325.85;"HOLD"
"2016-08-31";325.85;"HOLD"
"2016-09-01";327.5;"HOLD"
"2016-09-02";331.85;"HOLD"
"2016-09-06";333.0;"HOLD"
"2016-09-07";330.4;"HOLD"
"2016-09-08";337.95;"HOLD"
"2016-09-09";330.0;"HOLD"
"2016-09-12";320.9;"HOLD"
"2016-09-14";326.15;"HOLD"
"2016-09-15";321.1;"HOLD"
"2016-09-16";338.1;"HOLD"
"2016-09-19";337.05;"HOLD"
"2016-09-20";332.9;"HOLD"
"2016-09-21";333.15;"HOLD"
"2016-09-22";349.25;"HOLD"
"2016-09-23";350.45;"HOLD"
"2016-09-26";347.4;"HOLD"
"2016-09-27";347.75;"HOLD"
"2016-09-28";351.7;"HOLD"
"2016-09-29";348.15;"HOLD"
"2016-09-30";365.6;"HOLD"
"2016-10-03";377.65;"HOLD"
"2016-10-04";377.45;"HOLD"
"2016-10-05";379.55;"HOLD"
"2016-10-06";383.9;"HOLD"
"2016-10-07";386.1;"HOLD"
"2016-10-10";388.9;"HOLD"
"2016-10-13";384.15;"HOLD"
"2016-10-14";390.95;"HOLD"
"2016-10-17";388.3;"HOLD"
"2016-10-18";395.4;"HOLD"
"2016-10-19";391.0;"HOLD"
